Date,SettlementPoint,Price
2016-01-01 00:00:00,HB_BUSAVG,18.42
2016-01-01 00:00:00,HB_HOUSTON,18.42
2016-01-01 00:00:00,HB_HUBAVG,18.42
2016-01-01 00:00:00,HB_NORTH,18.43
2016-01-01 00:00:00,HB_SOUTH,18.38
2016-01-01 00:00:00,HB_WEST,18.44
2016-01-01 00:00:00,LZ_AEN,18.44
2016-01-01 00:00:00,LZ_CPS,18.45
2016-01-01 00:00:00,LZ_HOUSTON,18.42
2016-01-01 00:00:00,LZ_LCRA,18.44
2016-01-01 00:00:00,LZ_NORTH,18.43
2016-01-01 00:00:00,LZ_RAYBN,18.43
2016-01-01 00:00:00,LZ_SOUTH,18.22
2016-01-01 00:00:00,LZ_WEST,18.44
2016-01-01 01:00:00,HB_BUSAVG,16.15
2016-01-01 01:00:00,HB_HOUSTON,16.15
2016-01-01 01:00:00,HB_HUBAVG,16.14
2016-01-01 01:00:00,HB_NORTH,16.17
2016-01-01 01:00:00,HB_SOUTH,16.09
2016-01-01 01:00:00,HB_WEST,16.17
2016-01-01 01:00:00,LZ_AEN,16.17
2016-01-01 01:00:00,LZ_CPS,16.19
2016-01-01 01:00:00,LZ_HOUSTON,16.14
2016-01-01 01:00:00,LZ_LCRA,16.17
2016-01-01 01:00:00,LZ_NORTH,16.17
2016-01-01 01:00:00,LZ_RAYBN,16.17
2016-01-01 01:00:00,LZ_SOUTH,15.91
2016-01-01 01:00:00,LZ_WEST,16.17
2016-01-01 02:00:00,HB_BUSAVG,15.61
2016-01-01 02:00:00,HB_HOUSTON,15.61
2016-01-01 02:00:00,HB_HUBAVG,15.6
2016-01-01 02:00:00,HB_NORTH,15.64
2016-01-01 02:00:00,HB_SOUTH,15.53
2016-01-01 02:00:00,HB_WEST,15.65
2016-01-01 02:00:00,LZ_AEN,15.65
2016-01-01 02:00:00,LZ_CPS,15.67
2016-01-01 02:00:00,LZ_HOUSTON,15.61
2016-01-01 02:00:00,LZ_LCRA,15.65
2016-01-01 02:00:00,LZ_NORTH,15.64
2016-01-01 02:00:00,LZ_RAYBN,15.64
2016-01-01 02:00:00,LZ_SOUTH,15.25
2016-01-01 02:00:00,LZ_WEST,15.65
2016-01-01 03:00:00,HB_BUSAVG,15.62
2016-01-01 03:00:00,HB_HOUSTON,15.62
2016-01-01 03:00:00,HB_HUBAVG,15.61
2016-01-01 03:00:00,HB_NORTH,15.65
2016-01-01 03:00:00,HB_SOUTH,15.53
