Date,SettlementPoint,Price
2019-01-01 00:00:00,HB_BUSAVG,20.49
2019-01-01 00:00:00,HB_HOUSTON,20.12
2019-01-01 00:00:00,HB_HUBAVG,20.54
2019-01-01 00:00:00,HB_NORTH,20.49
2019-01-01 00:00:00,HB_SOUTH,20.34
2019-01-01 00:00:00,HB_WEST,21.22
2019-01-01 00:00:00,LZ_AEN,20.54
2019-01-01 00:00:00,LZ_CPS,20.23
2019-01-01 00:00:00,LZ_HOUSTON,20.1
2019-01-01 00:00:00,LZ_LCRA,20.27
2019-01-01 00:00:00,LZ_NORTH,20.5
2019-01-01 00:00:00,LZ_RAYBN,20.53
2019-01-01 00:00:00,LZ_SOUTH,20.86
2019-01-01 00:00:00,LZ_WEST,27.56
2019-01-01 01:00:00,HB_BUSAVG,19.77
2019-01-01 01:00:00,HB_HOUSTON,19.62
2019-01-01 01:00:00,HB_HUBAVG,19.82
2019-01-01 01:00:00,HB_NORTH,19.81
2019-01-01 01:00:00,HB_SOUTH,19.36
2019-01-01 01:00:00,HB_WEST,20.5
2019-01-01 01:00:00,LZ_AEN,19.76
2019-01-01 01:00:00,LZ_CPS,19.26
2019-01-01 01:00:00,LZ_HOUSTON,19.62
2019-01-01 01:00:00,LZ_LCRA,19.63
2019-01-01 01:00:00,LZ_NORTH,19.84
2019-01-01 01:00:00,LZ_RAYBN,19.86
2019-01-01 01:00:00,LZ_SOUTH,19.61
2019-01-01 01:00:00,LZ_WEST,27.4
2019-01-01 02:00:00,HB_BUSAVG,19.56
2019-01-01 02:00:00,HB_HOUSTON,19.22
2019-01-01 02:00:00,HB_HUBAVG,19.6
2019-01-01 02:00:00,HB_NORTH,19.58
2019-01-01 02:00:00,HB_SOUTH,19.29
2019-01-01 02:00:00,HB_WEST,20.31
2019-01-01 02:00:00,LZ_AEN,19.57
2019-01-01 02:00:00,LZ_CPS,19.18
2019-01-01 02:00:00,LZ_HOUSTON,19.21
2019-01-01 02:00:00,LZ_LCRA,19.26
2019-01-01 02:00:00,LZ_NORTH,19.61
2019-01-01 02:00:00,LZ_RAYBN,19.64
