SettlementPoint,Year,Month,AveragePrice
HB_HOUSTON,2018,2,22.164107142857144
HB_HOUSTON,2018,3,23.782543741588157
HB_HOUSTON,2018,4,24.652694444444442
HB_HOUSTON,2018,5,34.14755376344086
HB_HOUSTON,2018,6,30.62848611111111
HB_HOUSTON,2018,7,79.03404569892473
HB_HOUSTON,2018,8,31.944247311827958
HB_HOUSTON,2018,9,27.581361111111114
HB_HOUSTON,2018,10,30.98193548387097
HB_HOUSTON,2018,11,31.31923611111111
HB_HOUSTON,2018,12,30.333548387096773
HB_HOUSTON,2019,1,25.426034946236562
HB_HOUSTON,2019,2,21.5078125
HB_HOUSTON,2019,3,27.832032301480485
HB_HOUSTON,2019,4,23.870652777777778
HB_HOUSTON,2019,5,24.794274193548386
HB_HOUSTON,2019,6,26.897680555555556
HB_HOUSTON,2019,7,29.911008064516132
HB_HOUSTON,2019,8,126.62533602150538
HB_HOUSTON,2019,9,80.58765277777778
HB_HOUSTON,2019,10,30.393602150537635
HB_HOUSTON,2019,11,24.0215
HB_HOUSTON,2019,12,18.6725
HB_HUBAVG,2016,1,19.25869623655914
HB_HUBAVG,2016,2,15.269252873563218
HB_HUBAVG,2016,3,16.654347240915207
HB_HUBAVG,2016,4,18.16686111111111
HB_HUBAVG,2016,5,18.247002688172042
HB_HUBAVG,2016,6,24.297847222222224
HB_HUBAVG,2016,7,27.459206989247313
HB_HUBAVG,2016,8,30.948534946236556
HB_HUBAVG,2016,9,27.188138888888886
HB_HUBAVG,2016,10,25.769059139784947
HB_HUBAVG,2016,11,19.489305555555553
HB_HUBAVG,2016,12,25.362594086021506
HB_HUBAVG,2017,1,23.325551075268816
HB_HUBAVG,2017,2,20.352127976190474
HB_HUBAVG,2017,3,23.233230148048452
HB_HUBAVG,2017,4,24.830486111111114
HB_HUBAVG,2017,5,25.90502688172043
HB_HUBAVG,2017,6,28.513847222222225
HB_HUBAVG,2017,7,31.864408602150537
HB_HUBAVG,2017,8,27.83861559139785
HB_HUBAVG,2017,9,24.519694444444443
HB_HUBAVG,2017,10,24.701451612903227
HB_HUBAVG,2017,11,23.16713888888889
HB_HUBAVG,2017,12,21.209852150537632
HB_HUBAVG,2018,1,37.7730376344086
HB_HUBAVG,2018,2,21.830059523809524
HB_HUBAVG,2018,3,22.40343203230148
HB_HUBAVG,2018,4,22.450305555555556
HB_HUBAVG,2018,5,32.834852150537635
HB_HUBAVG,2018,6,29.78186111111111
HB_HUBAVG,2018,7,78.8323252688172
HB_HUBAVG,2018,8,31.694583333333334
HB_HUBAVG,2018,9,27.05302777777778
HB_HUBAVG,2018,10,29.889112903225808
HB_HUBAVG,2018,11,30.277208333333334
HB_HUBAVG,2018,12,30.191989247311827
HB_HUBAVG,2019,1,24.68340053763441
HB_HUBAVG,2019,2,21.25063988095238
HB_HUBAVG,2019,3,27.189030955585466
HB_HUBAVG,2019,4,22.221166666666665
HB_HUBAVG,2019,5,23.883763440860214
HB_HUBAVG,2019,6,25.171541666666663
HB_HUBAVG,2019,7,29.696236559139784
HB_HUBAVG,2019,8,126.34983870967741
HB_HUBAVG,2019,9,79.45919444444445
HB_HUBAVG,2019,10,28.13176075268817
