Month,DOW,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
1,0,0.7613180971092587,0.7316161280536253,0.7284032302335995,0.7510784299562272,0.8161222750321434,0.9233498504789008,1.5333612632004738,1.3939815951806531,1.1679923722569738,1.149038586556103,1.0552173473367907,0.9630372285867005,0.9200213807948455,0.896560292396816,0.8786928822178239,0.8603169558371014,0.8972306092081883,1.316132387570246,1.3937735658253996,1.1211857673249446,1.0479132055301137,0.9803730081911558,0.8980164978835902,0.8152670432383236
1,1,0.6319256468984836,0.6001051793851696,0.6026334350286855,0.6357377823609726,0.7267747375247617,0.8737888527957716,1.5779673055066097,1.5080847393600512,1.193316911742315,1.1287278808493686,1.0192623122840136,0.9493402421430256,0.9060833682422449,0.8685545735338049,0.8403684735080449,0.8458397767365913,0.9024490007546906,1.4794245914011321,1.6554741425781454,1.244533840520728,1.101035580753983,1.0032039385482443,0.8879510347989039,0.8174166527442518
1,2,0.570807104423599,0.5508613875529738,0.5537412504166469,0.578395314508833,0.6883176991571832,1.0592257511547072,3.4613361268511036,3.4844359792390844,1.5806028284367417,0.8959725727346319,0.8443178896243038,0.7661044712156566,0.7227236798247704,0.6887443455073569,0.6535764963573165,0.6439160039998096,0.6664368363411267,0.9439550497595354,1.0277148707204422,0.8391828960525691,0.7895395457359174,0.7272187038712443,0.6613780296176375,0.6014951668968146
1,3,0.7272279214643131,0.6928071769680355,0.6964819121669432,0.7244446900710576,0.8128340308021813,1.0498653231293595,1.9822043518794514,1.73982403671836,1.2523236629934413,1.1094873581317561,1.0188148978983524,0.9338611084182785,0.8862852467898162,0.8576484050326478,0.8165087660010891,0.8163565580342704,0.8520384542556171,1.2165982787815754,1.2790687771630067,1.0361448621204201,0.97352215577217,0.8960265566662107,0.8447542158435809,0.7848712528980669
1,4,0.799703203272963,0.7478293664783677,0.7502152186211252,0.7728931121842437,0.840090514802942,0.9853323385450404,1.604916003246727,1.4175897154194923,1.167173626085317,1.0895473439972454,1.0405266912084221,0.9690003197533801,0.9165607654403989,0.885618476826079,0.8556600447654734,0.842746927497971,0.8838721314432358,1.303437758774771,1.325279374267232,1.092818667038346,1.0161762415039888,0.9766744008723529,0.8836015708909644,0.8327361870639262
1,5,0.8832483130519589,0.8181959234595813,0.7866070099776129,0.7812113094389928,0.8252381992799398,0.8909745509124244,1.0716671891376695,1.1843436022634075,1.3796527626050088,1.3273423325005462,1.154705247192114,1.0624210356325223,0.9553683103921065,0.8941410418388445,0.869113097556419,0.8509501056024724,0.8747874492965639,1.1788212420877309,1.3420095184717247,1.1188859018324482,1.0221432710484568,0.9683129252993125,0.9110374374222231,0.848822223699918
1,6,0.8504595751571788,0.7764396358730457,0.7459534147154482,0.7574614584636803,0.7937774123095268,0.8608067197553698,1.0548787733165648,1.1631704744649507,1.2504650431604218,1.1982498183466233,1.0979077526822134,1.027092904529715,0.9620320782513325,0.9246561730076227,0.8914443625412335,0.8875578740824007,0.9152680320551175,1.2694179836317425,1.5179261125546406,1.179423062565524,1.07945955097178,1.0135154318618447,0.919533074584616,0.8631032811174075
2,0,0.6958777042077319,0.6439447105849326,0.63021389558478,0.6631373386629237,0.7422878589082476,0.9045555792878283,1.4652610380496138,1.3300582796814449,1.1630305434351444,1.1472553626460804,1.0772892319897476,1.0443657889116038,1.0101608031001126,1.007078997955634,0.9781527476886459,0.9914868946999053,0.9816007078997954,1.1598877124462208,1.6473011320294142,1.1446007384127177,1.0283770176669818,0.951179324443902,0.8484118023983156,0.744484789308272
2,1,0.6433054101546157,0.5897205335642629,0.5691281300679107,0.6069658745728178,0.6977509599561162,0.8685786539761642,1.2875671238771735,1.1613988064800191,1.0941706656536931,1.083268804979154,1.0545159443696963,1.033732280159756,1.0122473266666578,1.0297476819599973,1.0190689587846444,1.038003769429897,1.0507544836691243,1.2298382651590718,1.879423402076507,1.2036993009686558,1.0923218120890053,1.0098246909612048,0.9120267127463312,0.8329404076775239
2,2,0.7095762532166484,0.6519946491726377,0.6317955376612907,0.6550103796626676,0.7386340730424586,0.8939127794197339,1.4216027874564463,1.2069204731974337,1.0779351670301078,1.067191627159376,1.0501339015751436,1.0435055772689317,1.023589190491025,1.0171807631997112,1.0119032348421586,1.0402385359047324,1.0050235996617778,1.1438100299217013,1.6878352447794096,1.1966795550750402,1.1027521158543132,0.9851700406024134,0.8501532734550273,0.7874512103498197
