Month,DOW,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
1,0,0.7622440709226764,0.7336733787936502,0.73101563999095,0.7520713465399277,0.8189272243526775,0.9316520080534069,1.5377310127760482,1.3997118873668626,1.1726126889844175,1.1435150314031315,1.046461742021772,0.9555029226535003,0.9086946435680144,0.8869745023183617,0.870638573298317,0.855150371310168,0.8961391188793966,1.3136103147759397,1.393915267392008,1.1242922481663609,1.0528082389902884,0.9852191918526559,0.9050287969436005,0.8224097786458707
1,1,0.6429435081719881,0.6096891681243624,0.6133337492314777,0.6471988028700255,0.737978423094824,0.8922328558986805,1.6062555458786272,1.5279266027332716,1.204800011820263,1.1260573594681538,1.0127601381329072,0.9408732383498584,0.8949515164002044,0.855255132990272,0.8222962995188987,0.8289353472653739,0.8878002572548916,1.463387966479704,1.6525712765966178,1.2432158667331006,1.095265574222633,0.995088844873002,0.8850224954381172,0.8141600184527439
1,2,0.5697015172665967,0.5514341378318722,0.5545878889102609,0.579619835875442,0.6915551458895538,1.0669277017800791,3.4708935056723718,3.495575035851065,1.5874337493263047,0.8979049265933964,0.8437426798123745,0.7611052602511192,0.7195275467587399,0.6827642552024512,0.6479511092405287,0.6388098017669384,0.6611602985398665,0.9446474788083542,1.0238416725545572,0.8390196709510197,0.7891843097074971,0.7248295050934221,0.6583569642479655,0.5994260020682207
1,3,0.7302350539282093,0.6965416525837164,0.7001711818654724,0.7271958697705944,0.816053743270931,1.0503988929206869,1.984128097603727,1.7480119125815483,1.2520564144004125,1.1074874528885457,1.018323474509025,0.9323735973609386,0.8837247862048734,0.8552570324407399,0.8098441871503365,0.811243523740893,0.8523709007227173,1.216701300854634,1.2810707840202318,1.039488440441192,0.9674881999302154,0.8919240240401652,0.8435594531290569,0.7843500236411357
1,4,0.8017923984283444,0.7498310325512948,0.7511207657377419,0.7755016834738468,0.8427166245367604,0.9846864852910477,1.6154404211474906,1.444525971381978,1.190969387438743,1.0894773066898709,1.0372431126387651,0.9639515440627835,0.9042765816283297,0.8720580545284311,0.8415509041567028,0.8337380973541868,0.8739926543081016,1.2964050754307896,1.3288964307047442,1.097290113492387,1.0126637744124378,0.9773697297140885,0.8802677023113922,0.8342341485797434
1,5,0.8807841755779136,0.8170179172829733,0.7859496923948637,0.7815441162426972,0.8275607411384468,0.8924474927900072,1.0679065661335128,1.1814838472818485,1.3799130344360715,1.3254672436075643,1.1512814581693092,1.0582295780536097,0.9492361333641752,0.8879655193635259,0.8641550355353433,0.8463290048618376,0.8721003520641059,1.176059640805482,1.3411541506002491,1.125357316418411,1.0299371207989456,0.9761025081649587,0.9211219364162464,0.8608954184979023
1,6,0.8546572090154192,0.7828220678994567,0.751981718651981,0.7647753109640959,0.8019244847112592,0.8720504622177444,1.059379820768223,1.1754521376588856,1.2558582315811961,1.2008633789703753,1.0978360019814568,1.0259254565886058,0.9581370116656699,0.9198316390062136,0.8852964801911917,0.8808476278547588,0.9091745012059448,1.2639516239672492,1.506577452236103,1.1722600232705975,1.0762452440323274,1.0071749264022838,0.9159860208848901,0.8609911682740693
2,0,0.7078146789938534,0.6541087753731727,0.6389236093177004,0.6730127576054953,0.7526883941945145,0.9185166055472338,1.4826920097102418,1.3399824389236088,1.1705283817984604,1.1536697484634055,1.0825473890811421,1.043468829089406,0.9962398636434066,0.9866329218532097,0.9488249573885644,0.9645369557357572,0.9574712049997415,1.147781622850059,1.6416094210009808,1.144961520582614,1.029089406538918,0.957006352977635,0.8554826713496201,0.7524094829812508
2,1,0.6560080188432067,0.603928534478473,0.5820325778941668,0.6171177042030401,0.7092484081225722,0.8793209781161362,1.2928933539537277,1.1701276592314112,1.1016020219093932,1.084381932342354,1.0554882989115173,1.032076716466442,1.0037957828516608,1.0136634746260313,0.9967658586463903,1.0152435952042802,1.028948722668684,1.2185954394172902,1.876312568273705,1.1961190303756684,1.089541509740718,1.0099550283709575,0.9202428763569084,0.8465899089952663
2,2,0.7220781357166641,0.6635897748845502,0.6410477174707578,0.6640355217825631,0.7486000761484284,0.9045796513887802,1.432503173956707,1.2150423658547262,1.084406685672819,1.0739953116978047,1.0521218746310317,1.0380171692153395,1.0130553429266203,0.9983456952921963,0.9872020228418752,1.0099351146405302,0.9797516818322318,1.1242055158525375,1.6834268384737945,1.1979129493453755,1.1124887402476282,0.9928375371953233,0.8570757676862685,0.803745335245446
