Month,DOW,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
4,0,0.21154546428188925,0.1711898896861947,0.15885187961872121,0.1917532397986505,0.3738674092320874,0.5872121666488165,0.8265181535825211,0.7621291635428938,0.8879511620434829,0.816364999464496,0.8576202206276106,0.9615936596337152,0.9987362107743387,1.2113098425618507,1.3920102816750561,1.9778087180036414,2.681460854664239,2.1297204669594088,1.4173289065010175,1.3566670236692728,1.310656527792653,1.034207989718325,0.9259933597515261,0.7575024097675912
4,1,0.7615592553548606,0.6698272663561032,0.6180955129299937,0.5796500568319011,0.5821942414266278,0.7200042403076578,0.8988038798815068,0.9379560539225789,0.8463654085124174,0.933574402676105,1.0149883097073598,1.0277092326809931,1.0880629450114545,1.1079923910034803,1.4219165012750365,2.2694126584962215,2.477329077320832,2.037043798844516,1.0295466993327402,0.8397222598484089,0.8474961572211848,0.4930064370225972,0.45074470403241473,0.3469985100030034
4,2,0.27480139097000367,0.2702779112832546,0.22934042011817585,0.25783834214469475,0.3089536626049588,0.5235927737412004,0.8981368918040201,0.9564897797630826,1.0085097961606966,1.029770150688417,0.9967487489751492,1.0381385881089025,1.0024030985835852,1.13064374770292,0.9895111814763505,1.514687173107913,1.9717847954539027,1.650843911679059,1.4746543778801842,1.509711345452489,1.958892878346668,1.186508721834271,1.0510305052161373,0.7667298069039606
4,3,0.6154726700372032,0.568921110369169,0.39740532290374897,0.32338071162835064,0.35409710960602886,0.46189068014881235,0.8026328341123724,0.7034245921968901,0.7118191357435849,0.641228655919107,0.7370027663836687,0.789087093389297,0.6860631498616807,0.8739864542592769,1.045502241724697,1.1803872937136315,1.8994562625202709,1.8254316512448727,1.5936277783077362,1.7269865496518173,2.1077935705427837,1.4757225984927977,1.322140608604407,1.1565391586377944
4,4,0.9120306251069855,0.877857487434058,0.8313596115840091,0.8382689345014862,0.872628810631643,1.0955945285632034,1.3546007687399821,1.2167877873048973,1.209504987472962,1.2259379717091239,1.2024089260982558,1.1469476043012092,1.0027855153203344,1.0281819455034937,1.1015701591945348,1.135183081495775,1.5824216865594996,1.2929770778543752,0.9430292090070183,0.8694542568587479,0.8612377647406672,0.5421017413361138,0.4806647889077357,0.37646472977389084
4,5,0.5719303847996167,0.5142583426472936,0.4431741976688488,0.36461759540156474,0.40753632444515403,0.4711480121347596,0.48513491936771513,0.6395657033370588,0.8212038958965352,1.1538240459843525,1.3605620309755708,1.3368034488264409,1.253073606897653,1.1478844004470699,1.2490499760498162,1.5268721060194794,1.9437969024429187,1.741082548299537,1.5314705412741498,1.236787482037362,1.198467188248443,0.9557081270956409,0.8568417691202298,0.7892064505827877
4,6,0.6663481446090143,0.6282847587195415,0.6056696926262145,0.619684663162924,0.6927854753941711,0.7931199235547063,0.8987099856665075,1.00254817646122,1.2170727822901737,1.3275999362955886,1.3478260869565217,1.4193342888995066,1.2782290173594524,1.3352444656792486,1.3105590062111803,1.197165153686893,1.0753304666348145,1.1632425545469027,1.1047937569676702,1.2259913999044436,1.4534161490683233,0.7840420449116103,0.5910176779741998,0.2619843924191751
5,0,0.3125269048643996,0.2871287128712872,0.19027120103314685,0.33577270770555323,0.5645716745587603,0.8189840723202757,1.1528196297890663,1.1437795953508398,1.2946620749031428,1.2352561343090835,1.307576409814895,1.616229014205769,1.53336203185536,1.7389151958674134,1.50731812311666,1.9948342660352996,1.7946620749031432,1.5030133448127425,0.7275075333620321,0.6192423590185107,0.8280241067585021,0.5871717606543265,0.47589324149806295,0.43047783039173493
5,1,0.2193148098192609,0.17075802535743193,0.22922848664688436,0.2925546263825196,0.3738872403560832,0.5903695710817374,0.9529268950633938,0.996021041273267,1.0213110331804698,0.9788238467763691,0.9929862422444028,1.1087132452117618,1.259036957108174,1.5038440787698955,1.7150660911788513,2.054356622605881,2.2686134340437016,1.7312516859994607,1.321958456973294,1.1783113029403833,1.095764769355274,0.7684111141084438,0.664620987321284,0.5118694362017805
5,2,0.6027272007947743,0.561159807636514,0.510941332653438,0.4732774764161311,0.5492381948779266,0.6657112965193464,0.8545580826951988,1.012809579490606,1.1224251162708914,1.1224251162708914,1.11155851349094,1.188996245922826,1.2883781859103418,1.550759167597127,1.6918140017407668,1.841730919704949,2.038173777726981,1.5460116226932648,0.9496144817703067,0.8851533720756443,0.8882129010136889,0.5890120710725056,0.5236014523970706,0.4317100832578709
